cod;articulo;cantidad_en_consignacion;valor_total;n_ovs;ovs
14;Miel Os San Carlos 275 grs;17.0;257109.0;8;720,719,718,717,716,715,712,709
405;CHOCOBEETAL OS 130 GRS;16.0;226583.7;7;720,719,718,717,715,714,709
21;PROPOLEO OS 150 grs;13.0;128973.0;6;720,719,718,717,712,709
13;Miel Os San Carlos 150 grs;12.0;114136.0;6;720,717,716,715,712,709
355;CHOCOMIEL OS 135cc;12.0;171736.9;8;720,719,718,717,715,714,712,709
20;POLEN DE ABEJA OS 80grs;11.0;122288.0;7;720,718,717,715,714,709,676
238;Infusión de Cacao con Menta y Polen 200 grs;11.0;144284.0;6;720,717,714,712,709,676
320;Tableta Chocolate 73p 50 grs CPM;11.0;133672.0;5;720,719,717,712,709
406;CHOCOBEETAL OS 230 GRS;11.0;216941.5;8;720,719,718,717,715,714,712,709
497;Infusión de Cacao con Menta y Polen 400 grs;10.0;214163.4;6;720,717,714,712,709,676
15;Miel Os San Carlos 640 grs;10.0;282564.0;6;719,718,717,716,715,676
493;Tableta Chocolate 73p con Macadamia 50 grs CPM;10.0;121520.0;5;719,717,716,715,712
494;Tableta Chocolate 73p con Mani 50 grs CPM;10.0;121520.0;5;717,716,715,712,709
11;CHOCOMIEL OS 250cc;9.0;175675.6;8;720,719,718,715,714,712,709,676
171;POLEN DE ABEJA OS 150 GRS;9.0;156200.0;7;720,718,717,714,712,709,676
317;NIBS DE CACAO ORGANICO OS 100 GRS;9.0;123210.0;5;717,716,715,712,709
187;CREMA DE MANI OS 230 GRS;8.0;139664.0;5;720,719,718,717,715
237;PROPOLEO OS 600 grs;8.0;225808.0;5;720,719,718,716,712
169;PROPOLEO OS 265 grs;8.0;122440.0;5;719,718,717,715,714
172;CUCHARA MIELERA GRANDE;7.0;37688.0;3;720,719,709
272;Chocolate Puro Cacao 250 grs Bombones LT;7.0;193270.0;5;720,716,715,712,709
308;NIBS DE CACAO ORGANICO OS 200 GRS;7.0;150206.0;6;720,718,717,714,712,709
315;ALMENDRA DE CACAO ORGANICO TOSTADA 200 GRS;7.0;143206.0;4;720,717,715,714
411;Chocolate Puro Cacao 500 grs Granulado LT;7.0;365547.0;5;720,719,718,716,715
495;Tableta Chocolate 73p con Almendra 50 grs CPM;7.0;85064.0;5;719,717,716,712,709
25;CREMA DE MANI OS 130 GRS;6.0;68754.0;4;720,718,717,709
496;Tableta Chocolate 73p con Nibs 50 grs CPM;6.0;72912.0;4;717,716,715,709
512;Macadamia Tostada x 100 GRS;5.0;80370.0;5;720,717,714,712,709
164;Miel OS Panal 275 grs;4.0;97828.0;3;720,719,712
16;Chocolate Puro Cacao 500 grs Bombones LT;4.0;208884.0;4;719,718,716,715
387;Miel de Fuego OS 275 grs;4.0;97828.0;4;718,717,712,709
410;Chocolate Puro Cacao 250 grs Granulado LT;4.0;110440.0;3;718,716,712
584;Tableta Chocolate100% Lt 50grs;4.0;48608.0;2;716,715
241;CREMA DE MANI OS 500 GRS;3.0;96675.0;3;720,716,715
144;CUCHARA MIELERA PEQUEÑA;3.0;10383.0;2;719,709
145;CUCHARA MIELERA MEDIANA;3.0;14997.0;2;719,709
239;Miel Os San Carlos 1000 grs;3.0;130593.0;2;716,715
384;Miel Aromatica OS 275 grs;2.0;48914.0;2;720,712
231;POLEN DE ABEJA OS 320 GRS;2.0;65680.0;2;718,715
509;ALMENDRA  x 100 GRS;2.0;22766.0;2;717,712
513;Marañon  x 100 GRS;2.0;32148.0;2;717,712
163;Miel OS Panal 150 grs;2.0;36608.0;2;716,712
318;ALMENDRA DE CACAO ORGANICO TOSTADA 100 GRS;1.0;12844.0;1;717
557;CHOCOBEETAL OS 65 GRS (degustacion);1.0;4525.0;1;715
511;Macadamia Tostada x 200 GRS;1.0;28379.0;1;714
514;Marañon  x 200 GRS;1.0;28379.0;1;714
307;Propóleo OS degustacion 65 grs;1.0;5768.0;1;712
510;ALMENDRA  x 200 GRS;1.0;19919.0;1;712
