cod;nombre;;categoria;tipo;vigencia_hoy;stock;costo;valor
388;CREMA DE MACADAMIA CON NIBS X KILO;;DESARROLLO DE PRODUCTO;Producto en proceso;Vigente;0;1;0
393;CREMA DE MACADAMIA CON NIBS OS 60 GRS;;DESARROLLO DE PRODUCTO;Producto en proceso;Vigente;0;6696;0
394;CREMA DE MACADAMIA CON NIBS OS 110 GRS;;DESARROLLO DE PRODUCTO;Producto en proceso;Vigente;0;10332;0
395;CREMA DE MACADAMIA CON NIBS OS 200 GRS;;DESARROLLO DE PRODUCTO;Producto en proceso;Vigente;0;16672;0
415;O01.01. Papeleria;;GASTOS;Servicio;Vigente;0;0;0
416;O01.02. Impuestos;;GASTOS;Servicio;Vigente;0;0;0
417;O01.03. Gastos de publicidad e imagen;;GASTOS;Servicio;Vigente;0;0;0
418;O01.04. Gastos desarrollo de producto;;GASTOS;Servicio;Vigente;0;0;0
419;O01.05. Fletes Ventas OS;;GASTOS;Servicio;Vigente;0;0;0
420;O01.06. Gastos de Venta OS;;GASTOS;Servicio;Vigente;0;0;0
421;O01.07. Software;;GASTOS;Servicio;Vigente;0;0;0
422;O01.08. Gestiones administrativas y legales;;GASTOS;Servicio;Vigente;0;0;0
423;O01.09. Viaticos;;GASTOS;Servicio;Vigente;0;0;0
424;O01.10. Gastos Bancarios;;GASTOS;Servicio;Vigente;0;0;0
425;O01.11. Arriendo;;GASTOS;Servicio;Vigente;0;0;0
426;O01.12. Servicios Publicos;;GASTOS;Servicio;Vigente;0;0;0
427;O01.13. Ferreteria;;GASTOS;Servicio;Vigente;0;0;0
428;O01.14. Feria viaticos y general;;GASTOS;Servicio;Vigente;0;0;0
429;O01.15. Feria gastos de venta;;GASTOS;Servicio;Vigente;0;0;0
430;O01.16. Feria insumos;;GASTOS;Servicio;Vigente;0;0;0
431;O01.17. Gastos en mejoras y varios;;GASTOS;Servicio;Vigente;0;0;0
432;O01.18. Uniformes y dotacion;;GASTOS;Servicio;Vigente;0;0;0
433;O01.19. Consumibles produccion;;GASTOS;Servicio;Vigente;0;0;0
434;O01.20. Gastos Generales;;GASTOS;Servicio;Vigente;0;0;0
435;O01.21. Tecnologia;;GASTOS;Servicio;Vigente;0;0;0
436;O01.22. Fletes compras;;GASTOS;Servicio;Vigente;0;0;0
437;O01.23. Estudios de mercado y competencia;;GASTOS;Servicio;Vigente;0;0;0
438;O01.30. Por Identificar;;GASTOS;Servicio;Vigente;0;0;0
439;O06.01. Herramientas;;GASTOS;Servicio;Vigente;0;0;0
440;O06.02. Maquinas;;GASTOS;Servicio;Vigente;0;0;0
441;O06.03. Activos Muebles;;GASTOS;Servicio;Vigente;0;0;0
442;O06.04. Activos Fijos y reformas;;GASTOS;Servicio;Vigente;0;0;0
443;O06.05. Vehiculos;;GASTOS;Servicio;Vigente;0;0;0
444;O06.06. Tecnologia;;GASTOS;Servicio;Vigente;0;0;0
445;O06.07. Molderia general;;GASTOS;Servicio;Vigente;0;0;0
446;O06.08. Material POP;;GASTOS;Servicio;Vigente;0;0;0
447;O06.20. Otros Activos;;GASTOS;Servicio;Vigente;0;0;0
448;O07.01. Honorarios a socios;;GASTOS;Servicio;Vigente;0;0;0
449;O07.02. Comisiones miembros;;GASTOS;Servicio;Vigente;0;0;0
450;O07.03. Honorarios a terceros;;GASTOS;Servicio;Vigente;0;0;0
451;O07.04. Salarios;;GASTOS;Servicio;Vigente;0;0;0
452;O07.05. Eps;;GASTOS;Servicio;Vigente;0;0;0
453;O07.06. Arl;;GASTOS;Servicio;Vigente;0;0;0
454;O07.07. Pension;;GASTOS;Servicio;Vigente;0;0;0
455;O07.08. Parafiscales;;GASTOS;Servicio;Vigente;0;0;0
456;O07.09. Primas;;GASTOS;Servicio;Vigente;0;0;0
457;O07.10. Cesantias;;GASTOS;Servicio;Vigente;0;0;0
458;O07.11. Bonificaciones e incentivos;;GASTOS;Servicio;Vigente;0;0;0
459;O07.12. Pago Dividendos;;GASTOS;Servicio;Vigente;0;0;0
460;O07.13. Subsidio de transporte;;GASTOS;Servicio;Vigente;0;0;0
461;O07.14. Comision x desempéño;;GASTOS;Servicio;Vigente;0;0;0
462;O07.15. Pagos x Dia;;GASTOS;Servicio;Vigente;0;0;0
463;O07.16. Comisiones red de amigos;;GASTOS;Servicio;Vigente;0;0;0
464;O07.17. Comisiones a terceros;;GASTOS;Servicio;Vigente;0;0;0
465;O07.18. x;;GASTOS;Servicio;Vigente;0;0;0
466;O07.19. x;;GASTOS;Servicio;Vigente;0;0;0
467;O07.20. Pagos de Honorarios y dividendos General;;GASTOS;Servicio;Vigente;0;0;0
468;O08.04. Pago Intereses Socios;;GASTOS;Servicio;Vigente;0;0;0
469;O08.05. Pago Intereses Familiares y amigos;;GASTOS;Servicio;Vigente;0;0;0
470;O08.06. Pago Intereses Entidades Financieras;;GASTOS;Servicio;Vigente;0;0;0
471;O08.10. Pago Deudas e Intereses:;;GASTOS;Servicio;Vigente;0;0;0
472;O09.04. Inversiones Financieras;;GASTOS;Servicio;Vigente;0;0;0
473;O10.01. Cursos y mentorias;;GASTOS;Servicio;Vigente;0;0;0
474;O10.02. Talleres y seminarios;;GASTOS;Servicio;Vigente;0;0;0
475;O10.02. Estudios periodos medios;;GASTOS;Servicio;Vigente;0;0;0
476;O10.10. Capacitaciones y Asesorias General;;GASTOS;Servicio;Vigente;0;0;0
137;MANI SIN CASCARA X KILO;;T01.03. AGROECOLOGICOS GRAL;Materia prima;Vigente;18;11000;198000
324;ENVASE 500G CON PANAL X UNIDAD;;T01.03. AGROECOLOGICOS GRAL;Producto en proceso;Vigente;0;0;0
520;DESPERDICIO - CHOCOMIEL 80/20 x Kg;;T01.03. AGROECOLOGICOS GRAL;Producto en proceso;Vigente;0;21276;0
64;TAPA METALICA B.53 UNICOR;;T03.01. ENVASES Y TAPAS;Materia prima;Vigente;0;325,25;0
68;TAPA METALICA DORADA B.38 UNICOR;;T03.01. ENVASES Y TAPAS;Materia prima;Vigente;0;183,2;0
78;TAPA METALICA B.63 X UNIDAD;;T03.01. ENVASES Y TAPAS;Materia prima;Vigente;84;370;31080
135;ENVASE VIDRIO R 4186-2465, 130 CC B.48 C Tapa UNICOR;;T03.01. ENVASES Y TAPAS;Materia prima;Vigente;0;947;0
180;TAPA METALICA DORADA B.48;;T03.01. ENVASES Y TAPAS;Materia prima;Vigente;0;462;0
208;Envase Vidrio R mb110h Flint, 110cc, B. 46 UNICOR;;T03.01. ENVASES Y TAPAS;Materia prima;Vigente;0;1020,2;0
233;Envase Vidrio MB30R Flint, 30cc, B. 41 C Tapa UNICOR;;T03.01. ENVASES Y TAPAS;Materia prima;Vigente;0;784;0
322;TAPA METÁLICA B46 X UNIDAD;;T03.01. ENVASES Y TAPAS;Materia prima;Vigente;24;200;4800
337;ENVASE MB50R FLINT 50CCTO B.45 DEGUSTACION REDONDO;;T03.01. ENVASES Y TAPAS;Materia prima;Vigente;0;915;0
95;BOLSA FLEX UP MINI 133 X 170 80-160 GRS ALICO;;T03.03. ENVASES ECOLOGICOS;Materia prima;Vigente;3;315,2;945,6
96;BOLSA FLEX UP PEQUE 133 X 210 150-250 GRS ALICO;;T03.03. ENVASES ECOLOGICOS;Materia prima;Vigente;8;372,3;2978,4
98;BOLSA FLEX UP GRANDE 190 X 250 480-650 GRS ALICO;;T03.03. ENVASES ECOLOGICOS;Materia prima;Vigente;0;591,6;0
99;BOLSA FLEX UP VENTANA PEQUE 133 X 210 150-250 GRS ALICO;;T03.03. ENVASES ECOLOGICOS;Materia prima;Vigente;8;382,36;3058,88
101;BOLSA TRANSP VALVULA DOY PACK 10 X 18 + FFA 6cms 200 - 300 GRS (ABIERTA) Bolsa transparente con tapa pequeña ALICO;;T03.03. ENVASES ECOLOGICOS;Materia prima;Vigente;1;344,6;344,6
102;BOLSA TRANSP VALVULA DOY PACK 10 X 18 + FFA 6cms 200 - 300 GRS (CERRADA) Bolsa transparente con tapa pequeña ALICO;;T03.03. ENVASES ECOLOGICOS;Materia prima;Vigente;45;345;15525
