id	nombre	categoria	vigencia	stock_total	costo_promedio	stock_principal	stock_jenifer	stock_santiago	stock_ricardo	stock_mercado_libre	stock_villa_aburra	stock_apica	stock_el_salvador	stock_desarrollo	stock_no_conformes
10	MIEL OS PLASTICO 715grs	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	13856	0	0	0	0	0	0	0	0	0	0
100	BOLSA FLEX UP VENTANA MED 160 X 240 350-450 GRS ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	159	436.1894	159	0	0	0	0	0	0	0	0	0
101	BOLSA TRANSP VALVULA DOY PACK 10 X 18 + FFA 6cms 200 - 300 GRS (ABIERTA) Bolsa transparente con tapa pequeña ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	2	319.472	2	0	0	0	0	0	0	0	0	0
102	BOLSA TRANSP VALVULA DOY PACK 10 X 18 + FFA 6cms 200 - 300 GRS (CERRADA) Bolsa transparente con tapa pequeña ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	45	297.3398	45	0	0	0	0	0	0	0	0	0
103	BOLSA TRANSP VALVULA DOY PACK 13.3 X 21 + FFA 7cms 300 - 400 GRS (ABIERTA) Bolsa transparente con tapa mediana ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	6	447.0556	6	0	0	0	0	0	0	0	0	0
104	BOLSA TRANSP VALVULA DOY PACK 13.3 X 21 + FFA 7cms 300 - 400 GRS (CERRADA) Bolsa transparente con tapa mediana ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	32	445.9608	32	0	0	0	0	0	0	0	0	0
106	CUCHARA MIELERA ECOSANOS GRANDE	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
11	CHOCOMIEL OS 250cc	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	16	14737.0941	16	0	0	0	0	0	0	0	0	0
112	ACEITE DE MANI THAI 1 LT BEST CHOICE	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	73500	0	0	0	0	0	0	0	0	0	0
113	VAINILLA EN VAINA UNIDAD	T01.03. AGROECOLOGICOS GRAL	Vigente	20	9300.5	20	0	0	0	0	0	0	0	0	0
114	MANI SIN CASCARA TOSTADO X KILO	T01.03. AGROECOLOGICOS GRAL	Vigente	21.63	11280.107	21.63	0	0	0	0	0	0	0	0	0
115	AVELLANA GR	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	72	0	0	0	0	0	0	0	0	0	0
116	ALMENDRAS KG	T01.03. AGROECOLOGICOS GRAL	Vigente	1.43	40859.1034	1.43	0	0	0	0	0	0	0	0	0
117	PROCESO EMPACADO CHOCOLATE	T09.02. SERVICIOS M.O.	Vigente	-No aplica-	0	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
12	Miel os plastico 265 grs	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	12	6222	12	0	0	0	0	0	0	0	0	0
13	Miel Os Vidrio 150 grs	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	18	27100.2417	17	0	0	0	0	0	0	0	0	1
134	Extracto de Vainilla en Miel OS x Kilo	T01.03. AGROECOLOGICOS GRAL	Vigente	1.9	101995.3891	1.9	0	0	0	0	0	0	0	0	0
135	ENVASE VIDRIO R 4186-2465, 130 CC B.48 C Tapa UNICOR	T03.01. ENVASES Y TAPAS	Vigente	27	947	27	0	0	0	0	0	0	0	0	0
137	MANI SIN CASCARA X KILO	T01.03. AGROECOLOGICOS GRAL	Vigente	0	18500	0	0	0	0	0	0	0	0	0	0
138	BOLSA PLANA FLEXIBLE TRANSPARENTE SIN IMPRESION 6 X 20 CM 70 MICRAS - CON VALVULA - PERFORACION	T03.03. ENVASES ECOLOGICOS	Vigente	71	267.2612	71	0	0	0	0	0	0	0	0	0
139	BOLSA DOY PACK PET/FLEXIBLE SIN IMPRESION TRANSPARENTE 7.0 X 8.0 80 MICRAS CON VALVULA	T03.03. ENVASES ECOLOGICOS	Vigente	2	60.75	2	0	0	0	0	0	0	0	0	0
14	Miel Os vidrio 275 grs	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	11	26817.7544	9	0	0	0	0	0	0	0	0	2
140	RECIPACK 2.0 - AB 100X180FFA60MM FLEX UP TTE	T03.03. ENVASES ECOLOGICOS	Vigente	0	235.9455	0	0	0	0	0	0	0	0	0	0
141	RECIPACK 2.0-AB 133X210FFA70MM FLEX UP TTE	T03.03. ENVASES ECOLOGICOS	Vigente	19	215.5	19	0	0	0	0	0	0	0	0	0
142	RECIPACK 2.0 160X240FFA80MM FLEX UP TTE	T03.03. ENVASES ECOLOGICOS	Vigente	11	279.2083	11	0	0	0	0	0	0	0	0	0
143	BOLSA FLEX UP PET/COEXT HBA COLOR METALIZADO CON VENTANA 14 X 22 CM + FFA 8 CM 130 MICRAS CON ZIPPER ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	369	487.1706	369	0	0	0	0	0	0	0	0	0
144	CUCHARA MIELERA PEQUEÑA	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	48	1512.2797	48	0	0	0	0	0	0	0	0	0
145	CUCHARA MIELERA MEDIANA	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	12	2550	12	0	0	0	0	0	0	0	0	0
146	POLEN APICA X KILO	T01.03. AGROECOLOGICOS GRAL	Vigente	25.53	55382.7893	25.53	0	0	0	0	0	0	0	0	0
147	PROPOLEO APICA X KILO	T01.03. AGROECOLOGICOS GRAL	Vigente	22.18	13434.4287	22.18	0	0	0	0	0	0	0	0	0
148	DULCE DE LECHE MIEL OS X KILO	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	27802	0	0	0	0	0	0	0	0	0	0
149	AREQUIPE MIEL OS X KILO	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	32646	0	0	0	0	0	0	0	0	0	0
15	Miel Os Vidrio 640 grs	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	22	17687.5846	21	0	0	0	0	0	0	0	0	1
150	MANO DE OBRA OS GENERAL	T09.02. SERVICIOS M.O.	Vigente	-No aplica-	57	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
151	CREMA DE MANI OS X KILO	T01.03. AGROECOLOGICOS GRAL	Vigente	2.23	221288.1128	2.23	0	0	0	0	0	0	0	0	0
152	CREMA DE CHOCOLATE ARTESANAL OS X KILO	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	27791.0535	0	0	0	0	0	0	0	0	0	0
153	INFUSION DE CACAO OS CON MENTA, POLEN Y YERBABUENA X KILO	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	13585	0	0	0	0	0	0	0	0	0	0
157	Yerbabuena x gramo	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	2500	0	0	0	0	0	0	0	0	0	0
158	CAJA POLEN, MIEL, PROPOLO Y MIELERO PEQ.	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	92932.88	0	0	0	0	0	0	0	0	0	0
159	TAZA CHOCOLATE LECHE 7OZ	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
16	Chocolate Puro Cacao 500 grs Bombones LT	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	9	43850.647	9	0	0	0	0	0	0	0	0	0
160	Taza infusion cacao, menta y polen	T999. PRODUCTOS QUE NO SE USAN	Vigente	-No aplica-	0	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
161	Domicilio	T09.06. SERVICIOS LOGISTICA	Vigente	-No aplica-	0	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
163	Miel OS Panal 150 grs	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	6	8273.4733	6	0	0	0	0	0	0	0	0	0
164	Miel OS Panal 275 grs	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	29	7701.84	29	0	0	0	0	0	0	0	0	0
166	Comision bold	T09.10. SERVICIOS GENERALES	Vigente	-No aplica-	0	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
167	MENTA SECA X KG	T01.03. AGROECOLOGICOS GRAL	Vigente	0	50	0	0	0	0	0	0	0	0	0	0
168	POLEN DE ABEJA OS 200 GRS	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	26431.567	0	0	0	0	0	0	0	0	0	0
169	PROPOLEO OS 265 grs	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	16	18307.6561	16	0	0	0	0	0	0	0	0	0
17	CHOCOLATE MESA OS BOLSA 400 GRS PORCIONADA (44p)	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
