id;fecha_inventario;bodega;id_effi;nombre;categoria;excluido;razon_exclusion;inventario_teorico;inventario_fisico;diferencia;costo_manual;estado;contado_por;fecha_conteo;notas
3062;2026-04-30;—;57;REFINADO CACAO 24H;T09.01. SERVICIOS MAQUILA;1;Sin gestión de stock;NULL;NULL;NULL;7000.00;pendiente;NULL;NULL;NULL
3063;2026-04-30;—;58;TOSTADO CF CACAO;T09.01. SERVICIOS MAQUILA;1;Sin gestión de stock;NULL;NULL;NULL;2000.00;pendiente;NULL;NULL;NULL
3064;2026-04-30;—;59;DESCASCARILLADO CF CACAO;T09.01. SERVICIOS MAQUILA;1;Sin gestión de stock;NULL;NULL;NULL;2000.00;pendiente;NULL;NULL;NULL
3274;2026-04-30;—;63;ENVASE VIDRIO R 3590, 255 CC B.53 UNICOR;T999. PRODUCTOS QUE NO SE USAN;1;Productos que no se usan (obsoletos);NULL;NULL;NULL;945.40;pendiente;NULL;NULL;NULL
3073;2026-04-30;—;94;PROCESO MOLDEADO CHOCOLATE DE MESA;T09.01. SERVICIOS MAQUILA;1;Sin gestión de stock;NULL;NULL;NULL;3000.00;pendiente;NULL;NULL;NULL
3077;2026-04-30;—;117;PROCESO EMPACADO CHOCOLATE;T09.02. SERVICIOS M.O.;1;Sin gestión de stock;NULL;NULL;NULL;800.00;pendiente;NULL;NULL;NULL
3079;2026-04-30;—;150;MANO DE OBRA OS GENERAL;T09.02. SERVICIOS M.O.;1;Sin gestión de stock;NULL;NULL;NULL;1.00;pendiente;NULL;NULL;NULL
3080;2026-04-30;—;161;Domicilio;T09.06. SERVICIOS LOGISTICA;1;Sin gestión de stock;NULL;NULL;NULL;8000.00;pendiente;NULL;NULL;NULL
3081;2026-04-30;—;166;Comision bold;T09.10. SERVICIOS GENERALES;1;Sin gestión de stock;NULL;NULL;NULL;1.00;pendiente;NULL;NULL;NULL
3082;2026-04-30;—;176;MAQUILA OBTENCION DE NIBS DE CACAO X KG;T09.01. SERVICIOS MAQUILA;1;Sin gestión de stock;NULL;NULL;NULL;4845.00;pendiente;NULL;NULL;NULL
3083;2026-04-30;—;177;ENMOLDADO DE CHOCOLATE X KG;T09.01. SERVICIOS MAQUILA;1;Sin gestión de stock;NULL;NULL;NULL;5000.00;pendiente;NULL;NULL;NULL
